Year, Yes, No, Unknown
2005, 45.16, 35.48, 19.35
2006, 37.84, 21.62, 40.54
2007, 56.03, 36.21, 7.76
2008, 41.51, 58.49, 0
2009, 77.55, 22.45, 0
2010, 0, 37.5, 62.5
2011, 81.25, 0, 18.75
2012, 72.28, 16.3, 11.41
2013, 45, 30, 25
2014, 47.73, 52.27, 0
2015, 10.14, 29.3, 60.56
2016, 5.65, 2.38, 91.96
